id,cid,courseno,title,md,mt,cd,ct
1,021001,BIO F110,BIOLOGY LABORATORY,,,2019-11-30,09:00 AM - 12:00 PM
2,021002,BIO F111,GENERAL BIOLOGY,2019-09-28,11:00 AM - 12:30 PM,2019-12-07,09:00 AM - 12:00 PM
3,021112,BIO F211,BIOLOGICAL CHEMISTRY,2019-10-01,11:00 AM - 12:30 PM,2019-12-04,02:00 PM - 05:00 PM
4,021114,BIO F212,MICROBIOLOGY,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,09:00 AM - 12:00 PM
5,021113,BIO F213,CELL BIOLOGY,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
6,021115,BIO F214,INTEGRATED BIOLOGY,2019-09-28,11:00 AM - 12:30 PM,2019-12-07,09:00 AM - 12:00 PM
7,021941,BIO F216,"WATER,SANITATION & SOLID WASTE MGMT",,,,
8,022264,BIO F217,"LABORATORY FOR WATER, SANITATION AND SOLID WASTE MANAGEMENT",,,,
9,021427,BIO F311,RECOMBINANT DNA TECH,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
10,021428,BIO F312,PLANT PHYSIOLOGY,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
11,021429,BIO F313,ANIMAL PHYSIOLOGY,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
12,021433,BIO F417,BIOMOLECULAR MODELLING,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
13,021434,BIO F418,GENETIC ENG TECH,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
14,021437,BIO F441,BIO-CHEMICAL ENGINEERING,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
15,022122,BIO G510,APPLICATION OF COMPUTERS AND STATISTICS IN BIOLOGY,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
16,020071,BIO G512,MOLEC MECH OF GENE EXPR,2019-10-03,9:00 AM - 10:30 AM,2019-12-05,02:00 PM - 05:00 PM
17,020392,BIO G514,MOLECULAR IMMUNOLOGY,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,09:00 AM - 12:00 PM
18,020111,BIO G515,STEM CELL & REGENER BIO,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
19,022009,BIO G523,ADV & APPLIED MICROBIO,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
20,022007,BIO G525,ENV BIOTECH &WASTE MGMT,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
21,020192,BIO G526,CANCER BIOLOGY,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
22,020151,BIO G542,ADVANCED CELL MOLE BIO,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
23,022016,BIO G612,HUMAN GENETICS,2019-10-01,11:00 AM - 12:30 PM,2019-12-10,02:00 PM - 05:00 PM
24,022018,BIO G661,GENE TOXICOLOGY,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
25,021003,BITS F110,ENGINEERING GRAPHICS,,,2019-12-12,02:00 PM - 05:00 PM
26,021005,BITS F112,TECHNICAL REPORT WRITING,2019-10-04,11:00 AM - 12:30 PM,2019-12-11,09:00 AM - 12:00 PM
27,021632,BITS F225,ENVIRONMENTAL STUDIES,2019-09-21,,2019-11-30,02:00 PM - 05:00 PM
28,021334,BITS F312,NEURAL NETW & FUZZY LOGIC,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
29,022277,BITS F314,GAME THEORY AND ITS APPLICATIONS,2019-09-30,2:00 PM - 3:30 PM,2019-12-03,09:00 AM - 12:00 PM
30,022265,BITS F315,INTRODUCTION TO COGNITIVE NEUROSCIENCE,2019-09-30,2:00 PM - 3:30 PM,2019-12-03,09:00 AM - 12:00 PM
31,021809,BITS F417,MICRO-FLUIDICS & ITS APP,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
32,022001,BITS F437,TECHNICAL COMMUNICATION,2019-09-29,11:00 AM - 12:30 PM,2019-11-30,09:00 AM - 12:00 PM
33,021338,BITS F463,CRYPTOGRAPHY,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
34,021339,BITS F464,MACHINE LEARNING,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
35,021379,BITS F467,BIOETHICS & BIOSAFETY,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
36,022294,BITS G518,WRITING SEMINAR,2019-09-28,11:00 AM - 12:30 PM,2019-12-07,09:00 AM - 12:00 PM
37,020009,BITS G553,REAL TIME SYSTEMS,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
38,021069,CHE F211,CHEMICAL PROCESS CALCULA,2019-10-01,11:00 AM - 12:30 PM,2019-12-04,09:00 AM - 12:00 PM
39,021072,CHE F212,FLUID MECHANICS,2019-10-04,2:00 PM - 3:30 PM,2019-12-13,09:00 AM - 12:00 PM
40,021071,CHE F213,CHEM ENGG THERMODYNAM,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
41,021070,CHE F214,ENGINEERING CHEMISTRY,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
42,021180,CHE F241,HEAT TRANSFER,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
43,021184,CHE F311,KINETICS & REACTOR DESIG,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
44,021185,CHE F312,CHEMICAL ENGG LAB I,,,,
